,UUID,PLAYER,BIRTH_DATE,POS,EXPERIENCE,HEIGHT,WEIGHT,NATIONALITY,COLLEGE
0,cb551838-59d3-4b6e-8742-e351ade79c82,A.C. Green,1963-10-04,PF,15,6-9,220,US,Oregon State
1,e5eb7474-e007-4bf8-b6dd-73d7230f32ca,A.J. Bramlett,1977-01-10,C,R,6-10,227,US,Arizona
2,32c07626-e305-40f1-a0e5-dda113b221fc,A.J. Guyton,1978-02-12,PG,2,6-1,180,US,Indiana
3,1dce9c7b-b10e-4829-8443-b3a2a50fa042,A.J. Hammons,1992-08-27,C,R,7-0,260,US,Purdue
4,878e55e2-df28-48ac-adf1-fa3c6dffecb2,A.J. Price,1986-10-07,PG,5,6-2,181,US,UConn
5,038d212b-8e43-4c59-a85d-8709c36fb053,A.J. Wynder,1964-09-11,PG,R,6-2,180,US,"UMass, Fairfield"
6,0e43b89d-dfe3-4daa-9532-c223384601af,Aaron Brooks,1985-01-14,PG,9,6-0,161,US,Oregon
7,64442aff-56c2-4545-aa07-a784ccb8eb14,Aaron Gordon,1995-09-16,PF,6,6-8,235,US,Arizona
8,09b7f0a5-7f67-4972-823f-56db50c2dbf2,Aaron Gray,1984-12-07,C,6,7-0,270,US,Pitt
9,4598aa6a-ba6b-4db0-a108-8d47e5b06dcc,Aaron Harrison,1994-10-28,SG,2,6-6,210,US,Kentucky
10,3fb1196a-2099-4f1b-be46-b5976d80342d,Aaron Holiday,1996-09-30,PG,2,6-0,185,US,UCLA
11,1b9dac51-37b7-46bd-8f62-5f9b6f03619c,Aaron Jackson,1986-05-06,PG,R,6-4,185,US,Duquesne
12,259ad8f4-cd37-489f-931d-fcab1c92432d,Aaron James,1952-10-05,SF,4,6-8,210,US,Grambling State University
13,55c56eb5-36cf-42fa-9dff-70ac87e0628b,Aaron McKie,1972-10-02,SF,12,6-5,209,US,Temple
14,24b6e6d8-d87e-4882-b6cc-d65032561579,Aaron Miles,1983-04-13,PG,R,6-1,175,US,Kansas
15,1c7aa454-4d49-4d52-b761-3abd3def34a2,Aaron Nesmith,1999-10-16,SF,R,6-5,215,US,Vanderbilt
16,7cefcd0c-13f0-4bd8-9186-6a544b9366f7,Aaron Swinson,1971-01-09,SF,R,6-5,230,US,Auburn
17,47f016e9-efa8-405e-9a00-6e6dfa3ff8a7,Aaron Williams,1971-10-02,C,13,6-9,220,US,Xavier
18,cde69c4a-9263-4329-a7f4-b5f56602d892,Abdel Nader,1993-09-25,SF,3,6-5,225,EG,"Northern Illinois, Iowa State"
19,f3a93f05-8091-4df3-9ca4-4b421d0cec09,Abdul Jeelani,1954-02-10,SF,1,6-8,210,US,University of Wisconsin-Parkside
20,8d512dce-04d5-4d85-ad2f-0a140118d69d,Acie Earl,1970-06-23,C,3,6-10,240,US,Iowa
21,9a0428dc-46b3-4a77-b02a-985c7bc78313,Acie Law,1985-01-25,PG,3,6-3,195,US,Texas A&M
